alpha,beta,omega,J_value
0.01,0.15052631578947367,0.21578947368421053,0.08773004525690402
0.01,0.15052631578947367,0.23947368421052634,0.0888797489768531
0.01,0.15052631578947367,0.2631578947368421,0.0899664011141762
0.01,0.15052631578947367,0.2868421052631579,0.09099158475252032
0.01,0.15052631578947367,0.3105263157894737,0.09195752614389976
0.01,0.15052631578947367,0.33421052631578946,0.09286686360658326
0.01,0.15052631578947367,0.35789473684210527,0.09372247153258956
0.01,0.15052631578947367,0.3815789473684211,0.09452733075452839
0.01,0.15052631578947367,0.4052631578947368,0.09528443571809048
0.01,0.15052631578947367,0.42894736842105263,0.09599672979348542
0.01,0.15052631578947367,0.45263157894736844,0.09666706163745663
0.01,0.15052631578947367,0.4763157894736842,0.09729815703802491
0.01,0.15052631578947367,0.5,0.09789260205249037
0.01,0.19736842105263158,0.05,0.06894613633029717
0.01,0.19736842105263158,0.0736842105263158,0.07081730793438124
0.01,0.19736842105263158,0.09736842105263158,0.07265927960142149
0.01,0.19736842105263158,0.12105263157894737,0.0744570045961119
0.01,0.19736842105263158,0.14473684210526316,0.0761982871955816
0.01,0.19736842105263158,0.16842105263157897,0.07787397916096159
0.01,0.19736842105263158,0.19210526315789472,0.07947786164901746
0.01,0.19736842105263158,0.21578947368421053,0.08100631215547177
0.01,0.19736842105263158,0.23947368421052634,0.08245786159763449
0.01,0.19736842105263158,0.2631578947368421,0.08383272772227447
0.01,0.19736842105263158,0.2868421052631579,0.08513238214417898
0.01,0.19736842105263158,0.3105263157894737,0.08635918062571524
0.01,0.19736842105263158,0.33421052631578946,0.08751606544055163
0.01,0.19736842105263158,0.35789473684210527,0.0886063359722601
0.01,0.19736842105263158,0.3815789473684211,0.08963347767980455
0.01,0.19736842105263158,0.4052631578947368,0.0906010379535667
0.01,0.19736842105263158,0.42894736842105263,0.09151253817362615
0.01,0.19736842105263158,0.45263157894736844,0.0923714130293612
0.01,0.19736842105263158,0.4763157894736842,0.09318097006972692
0.01,0.19736842105263158,0.5,0.0939443641355344
0.01,0.2442105263157895,0.05,0.06036619418936451
0.01,0.2442105263157895,0.0736842105263158,0.06254114535062584
0.01,0.2442105263157895,0.09736842105263158,0.06469109601511912
0.01,0.2442105263157895,0.12105263157894737,0.06679751688929363
0.01,0.2442105263157895,0.14473684210526316,0.0688450647650177
0.01,0.2442105263157895,0.16842105263157897,0.07082191225337083
0.01,0.2442105263157895,0.19210526315789472,0.07271968998505482
0.01,0.2442105263157895,0.21578947368421053,0.0745331513506286
0.01,0.2442105263157895,0.23947368421052634,0.07625968352189669
0.01,0.2442105263157895,0.2631578947368421,0.07789877116144206
0.01,0.2442105263157895,0.2868421052631579,0.07945148658135204
0.01,0.2442105263157895,0.3105263157894737,0.08092004673882235
